Geo_NAME	Geo_QName	Geo_AREALAND	Geo_AREAWATR	Geo_SUMLEV	Geo_GEOCOMP	SE_T001_001
"ZCTA5 85355       "	"ZCTA5 85355, Arizona"	"91085688"	"96164"	"871"	"00"	8745
"ZCTA5 85356       "	"ZCTA5 85356, Arizona"	"428126284"	"0"	"871"	"00"	4539
"ZCTA5 85357       "	"ZCTA5 85357, Arizona"	"1512399971"	"6975792"	"871"	"00"	761
"ZCTA5 85360       "	"ZCTA5 85360, Arizona"	"1904347442"	"1002886"	"871"	"00"	222
"ZCTA5 85361       "	"ZCTA5 85361, Arizona"	"308273439"	"115746"	"871"	"00"	6700
"ZCTA5 85362       "	"ZCTA5 85362, Arizona"	"187035827"	"0"	"871"	"00"	663
"ZCTA5 85363       "	"ZCTA5 85363, Arizona"	"4123269"	"16185"	"871"	"00"	6156
"ZCTA5 85364       "	"ZCTA5 85364, Arizona"	"102169362"	"2722330"	"871"	"00"	74904
"ZCTA5 85365       "	"ZCTA5 85365, Arizona"	"3544889689"	"9765932"	"871"	"00"	46558
"ZCTA5 85367       "	"ZCTA5 85367, Arizona"	"117502698"	"0"	"871"	"00"	20429
"ZCTA5 85371       "	"ZCTA5 85371, Arizona"	"459120398"	"0"	"871"	"00"	419
"ZCTA5 85373       "	"ZCTA5 85373, Arizona"	"29503642"	"115316"	"871"	"00"	17356
"ZCTA5 85374       "	"ZCTA5 85374, Arizona"	"42116615"	"58643"	"871"	"00"	47146
"ZCTA5 85375       "	"ZCTA5 85375, Arizona"	"47570427"	"39695"	"871"	"00"	27703
"ZCTA5 85377       "	"ZCTA5 85377, Arizona"	"21908227"	"15367"	"871"	"00"	3051
"ZCTA5 85379       "	"ZCTA5 85379, Arizona"	"27862583"	"49075"	"871"	"00"	39732
"ZCTA5 85381       "	"ZCTA5 85381, Arizona"	"17183330"	"35429"	"871"	"00"	24249
"ZCTA5 85382       "	"ZCTA5 85382, Arizona"	"25462879"	"181393"	"871"	"00"	40454
"ZCTA5 85383       "	"ZCTA5 85383, Arizona"	"246067364"	"5793963"	"871"	"00"	37182
"ZCTA5 85387       "	"ZCTA5 85387, Arizona"	"140516053"	"167230"	"871"	"00"	9573
"ZCTA5 85388       "	"ZCTA5 85388, Arizona"	"33966730"	"72157"	"871"	"00"	23490
"ZCTA5 85390       "	"ZCTA5 85390, Arizona"	"1529531332"	"140266"	"871"	"00"	8621
"ZCTA5 85392       "	"ZCTA5 85392, Arizona"	"25034766"	"128970"	"871"	"00"	35310
"ZCTA5 85395       "	"ZCTA5 85395, Arizona"	"37119104"	"60427"	"871"	"00"	25922
"ZCTA5 85396       "	"ZCTA5 85396, Arizona"	"213865564"	"10222"	"871"	"00"	12163
"ZCTA5 85501       "	"ZCTA5 85501, Arizona"	"1454587141"	"4148244"	"871"	"00"	13345
"ZCTA5 85530       "	"ZCTA5 85530, Arizona"	"1081923256"	"26447962"	"871"	"00"	2069
"ZCTA5 85531       "	"ZCTA5 85531, Arizona"	"10813235"	"330947"	"871"	"00"	623
"ZCTA5 85533       "	"ZCTA5 85533, Arizona"	"2999736948"	"3068041"	"871"	"00"	2943
"ZCTA5 85534       "	"ZCTA5 85534, Arizona"	"1145308140"	"2933545"	"871"	"00"	2588
"ZCTA5 85535       "	"ZCTA5 85535, Arizona"	"11288544"	"165695"	"871"	"00"	21
